bioID,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,deathDate
anderke01w,G,NaN,NaN,67.0,125.0,Wisconsin,Unknown,1974-05-17,NaN
andrame01w,F,NaN,NaN,71.0,165.0,Old Dominion,Unknown,1975-12-31,NaN
angelyv01w,G,NaN,NaN,68.0,160.0,Ohio State,Unknown,1963-10-14,NaN
anosini01w,C,NaN,NaN,75.0,211.0,Tennessee,Unknown,1986-02-27,NaN
appelja01w,C,NaN,NaN,76.0,210.0,Stanford,Unknown,1988-05-14,NaN
arcaija01w,G,NaN,NaN,71.0,147.0,none,Unknown,1969-04-11,NaN
artiska01w,F,NaN,NaN,73.0,155.0,Northeastern,Unknown,1973-07-09,NaN
askamma01w,C,NaN,NaN,77.0,198.0,none,Unknown,1970-08-07,NaN
atkinla01w,G-F,NaN,NaN,72.0,172.0,North Carolina,Unknown,1984-03-22,NaN
atunrmo01w,G-F,NaN,NaN,70.0,143.0,Texas A&M,Unknown,1986-04-14,NaN
augusse01w,F,NaN,NaN,72.0,179.0,Louisiana State,Unknown,1984-04-30,NaN
aycocan01w,G-F,NaN,NaN,74.0,172.0,Kansas,Unknown,1973-02-28,NaN
ayimmi01w,F,NaN,NaN,75.0,NaN,Pepperdine,Unknown,1988-05-06,NaN
azizle01w,F,NaN,NaN,75.0,177.0,Syracuse,Unknown,1979-02-28,NaN
azzije01w,G,NaN,NaN,68.0,143.0,Stanford,Unknown,1968-08-31,NaN
badertr01w,G,NaN,NaN,64.0,125.0,Boise State,Unknown,1973-02-26,NaN
bakerla01w,G,NaN,NaN,67.0,140.0,California,Unknown,1968-12-18,NaN
bakersh01w,G,NaN,NaN,68.0,125.0,Georgia,Unknown,1982-12-03,NaN
balesal01w,C,NaN,NaN,79.0,218.0,Duke,Unknown,1985-04-04,NaN
banchrh01w,C,NaN,NaN,75.0,185.0,Washington,Unknown,1973-05-01,NaN
baranel01w,F,NaN,NaN,77.0,182.0,Academy of Sport Moscow,Unknown,1972-01-28,NaN
barksla01w,G,NaN,NaN,70.0,156.0,North Carolina,Unknown,1979-10-03,NaN
barnead01w,F,NaN,NaN,71.0,165.0,Arizona,Unknown,1977-02-03,NaN
barnequ01w,C,NaN,NaN,77.0,185.0,Indiana,Unknown,1976-09-26,NaN
bassmi01w,F,NaN,NaN,75.0,184.0,Duke,Unknown,1983-12-02,NaN
batkosu01w,C,NaN,NaN,76.0,203.0,Unknown,Unknown,1980-12-17,NaN
batteja01w,F,NaN,NaN,73.0,163.0,Notre Dame,Unknown,1983-03-26,NaN
battlas01w,F,NaN,NaN,72.0,170.0,Connecticut,Unknown,1982-05-31,NaN
bauerca01w,F-C,NaN,NaN,76.0,180.0,Montana State,Unknown,1972-06-27,NaN
beardal01w,G-F,NaN,NaN,71.0,160.0,Duke,Unknown,1982-05-14,NaN
becenry01w,G,NaN,NaN,66.0,140.0,Arizona State,Scottsdale CC (JC),1971-08-11,NaN
beckan99wc,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
beckki01w,G,NaN,NaN,68.0,125.0,George Washington,Unknown,1985-12-27,NaN
bellje01w,F,NaN,NaN,73.0,160.0,Florida International,Unknown,1970-05-26,NaN
bennije01w,F,NaN,NaN,75.0,185.0,Vanderbilt,Unknown,1981-10-06,NaN
berezva01w,C,NaN,NaN,76.0,NaN,Rice,Unknown,1986-04-10,NaN
berggas01w,G,NaN,NaN,70.0,170.0,Illinois,Unknown,1976-11-18,NaN
berrysh01w,F-C,NaN,NaN,75.0,175.0,Iowa,Unknown,1967-07-06,NaN
berthlu01w,F-C,NaN,NaN,74.0,188.0,Old Dominion,Unknown,1978-03-31,NaN
berubca01w,F,NaN,NaN,72.0,155.0,Connecticut,Unknown,1975-09-02,NaN
beviltu01w,G,NaN,NaN,67.0,145.0,Unknown,Unknown,1972-07-19,NaN
bibbyhe01w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
bibbyje01w,G,NaN,NaN,67.0,139.0,Unknown,Unknown,1979-08-23,NaN
bibrzag01w,G-F,NaN,NaN,74.0,168.0,Unknown,Unknown,1982-10-21,NaN
birdsu01w,G,NaN,NaN,69.0,150.0,Connecticut,Unknown,1980-10-16,NaN
bishoab01w,F-C,NaN,NaN,74.0,NaN,Unknown,Unknown,1988-11-29,NaN
bjedoni01w,C,NaN,NaN,78.0,195.0,Unknown,Unknown,1971-05-18,NaN
bjorkan01w,F,NaN,NaN,72.0,166.0,Tennessee,Unknown,1989-07-14,NaN
bjorkte01w,C,NaN,NaN,76.0,175.0,Colorado,Unknown,1982-06-29,NaN
blackch01w,C,NaN,NaN,77.0,188.0,Duke,Unknown,1985-11-12,NaN
blackde01w,G,NaN,NaN,63.0,124.0,St. Joseph's,Unknown,1966-07-29,NaN
bladerh01w,G,NaN,NaN,67.0,138.0,Vanderbilt,Unknown,1972-10-29,NaN
blodgci01w,G,NaN,NaN,69.0,130.0,Maine,Unknown,1975-12-23,NaN
blueni01w,G,NaN,NaN,68.0,163.0,UCLA,Unknown,1984-03-29,NaN
blueoc01w,F,NaN,NaN,73.0,163.0,Miami (FL),Unknown,1976-08-18,NaN
bobbish01w,G,NaN,NaN,62.0,130.0,Tennessee,Unknown,1985-12-06,NaN
boddiwh01w,G,NaN,NaN,69.0,149.0,Auburn,Unknown,1987-01-23,NaN
boguemu01w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
boldeba01w,G,NaN,NaN,74.0,180.0,Louisiana Tech,Unknown,1969-06-16,NaN
boltoru01w,G,NaN,NaN,69.0,150.0,Auburn,Unknown,1967-05-25,NaN
bondla01w,G,NaN,NaN,67.0,132.0,Missouri,Unknown,1984-02-13,NaN
bonfisu01w,G,NaN,NaN,68.0,145.0,Unknown,Unknown,1974-09-08,NaN
bonnede01w,G,NaN,NaN,76.0,136.0,Auburn,Unknown,1987-08-21,NaN
bookeka01w,C,NaN,NaN,73.0,170.0,Vanderbilt,Unknown,1965-04-10,NaN
bosweca01w,F-G,NaN,NaN,72.0,168.0,Illinois State,Unknown,1962-11-10,NaN
bouceje01w,G,NaN,NaN,68.0,130.0,Virginia,Unknown,1973-12-20,NaN
bouchke01w,F,NaN,NaN,74.0,163.0,Unknown,Unknown,1968-01-13,NaN
bowenli01w,G,NaN,NaN,67.0,145.0,Michigan State,Unknown,1983-10-25,NaN
boydca01w,F,NaN,NaN,73.0,172.0,Unknown,Unknown,1975-10-31,NaN
boyerli99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
bradlki01w,F-C,NaN,NaN,77.0,185.0,Oral Roberts,Unknown,1974-08-26,NaN
brancli01w,G,NaN,NaN,64.0,NaN,Texas A&M,Unknown,NaN,NaN
branzal01w,F,NaN,NaN,76.0,180.0,Florida International,Unknown,1971-07-17,NaN
branzge01w,F,NaN,NaN,76.0,175.0,Florida International,Unknown,1976-07-25,NaN
braxtja01w,F-C,NaN,NaN,75.0,178.0,Louisiana Tech,Unknown,1973-10-06,NaN
braxtka01w,F-C,NaN,NaN,78.0,210.0,Georgia,Unknown,1983-02-18,NaN
brazian01w,F,NaN,NaN,74.0,169.0,Texas Tech,Unknown,1976-09-18,NaN
brcanra01w,C,NaN,NaN,80.0,198.0,none,Unknown,1967-04-15,NaN
brelaje01w,F,NaN,NaN,75.0,170.0,North Carolina,Unknown,1988-02-23,NaN
bristre01w,G,NaN,NaN,70.0,139.0,Arizona,Unknown,1978-02-10,NaN
brogami01w,F,NaN,NaN,73.0,177.0,Unknown,Unknown,1973-02-08,NaN
brondsa01w,G,NaN,NaN,67.0,136.0,U. Western Sydney,Unknown,1968-08-20,NaN
brownci01w,F-C,NaN,NaN,74.0,183.0,Long Beach State,Unknown,1965-03-16,NaN
brownco01w,G,NaN,NaN,69.0,150.0,North Carolina,Unknown,1980-10-21,NaN
brownde01w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
browned01w,G-F,NaN,NaN,69.0,163.0,Texas,Unknown,1978-07-01,NaN
brownki01w,G,NaN,NaN,70.0,134.0,Georgia,Unknown,1979-01-13,NaN
brownla01w,C,NaN,NaN,75.0,180.0,Louisiana Tech,Unknown,1972-12-01,NaN
brownle01w,F,NaN,NaN,72.0,166.0,Virginia,Unknown,1977-06-03,NaN
brownru01w,F,NaN,NaN,74.0,175.0,Furman,Unknown,1972-05-05,NaN
brucegr99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
brumfma01w,G,NaN,NaN,68.0,133.0,Rice,Unknown,1978-06-06,NaN
brungje01w,F,NaN,NaN,73.0,165.0,Penn State,Unknown,1982-04-16,NaN
brunsre01w,F,NaN,NaN,75.0,175.0,Georgetown,Unknown,1981-12-11,NaN
bryanjo01w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
bullevi01w,F,NaN,NaN,75.0,185.0,Maryland,Unknown,1967-10-04,NaN
burgean01w,G,NaN,NaN,67.0,141.0,Unknown,Unknown,1969-04-10,NaN
burgehe01w,C,NaN,NaN,77.0,195.0,Virginia,Unknown,1971-11-11,NaN
burgehe02w,F,NaN,NaN,77.0,180.0,Virginia,Unknown,1971-11-11,NaN
burgeli01w,F,NaN,NaN,73.0,173.0,Alabama,Unknown,1969-07-27,NaN
burraal01w,C,NaN,NaN,75.0,218.0,Louisiana Tech,Unknown,1975-06-23,NaN
burseja01w,C,NaN,NaN,77.0,199.0,Tulane,Unknown,1979-05-19,NaN
buttsta01w,G,NaN,NaN,71.0,160.0,Tennessee,Unknown,1982-03-10,NaN
byearla01w,G-F,NaN,NaN,71.0,206.0,DePaul,NE Oklahoma A&M (JC),1973-08-12,NaN
byrdla01w,G,NaN,NaN,66.0,131.0,Eastern Michigan,Unknown,1960-02-01,NaN
cabezli01w,F-C,NaN,NaN,75.0,178.0,Central Florida CC,Unknown,1973-10-25,NaN
cainke01w,C,NaN,NaN,78.0,220.0,Tennessee,Unknown,1989-05-16,NaN
camba01w,C,NaN,NaN,80.0,215.0,none,Unknown,1991-08-18,NaN
campbed01w,G,NaN,NaN,68.0,152.0,Texas,Unknown,1968-11-26,NaN
campbmi01w,F-C,NaN,NaN,77.0,170.0,USC,Unknown,1974-02-20,NaN
cantydo01w,G-F,NaN,NaN,69.0,162.0,Alabama,Unknown,1977-03-02,NaN
careyja01w,G,NaN,NaN,66.0,135.0,Texas,Unknown,1981-03-12,NaN
carsoes01w,G-F,NaN,NaN,72.0,165.0,Rutgers,Unknown,1986-07-28,NaN
carteam01w,F,NaN,NaN,74.0,185.0,Louisiana State,Unknown,1982-06-21,NaN
cartede01w,G-F,NaN,NaN,72.0,185.0,Georgia,Unknown,1972-01-03,NaN
cartesy01w,G,NaN,NaN,66.0,NaN,Texas A&M,Unknown,1990-11-18,NaN
cashsw01w,F,NaN,NaN,73.0,162.0,Connecticut,Unknown,1979-09-22,NaN
cassija01w,C,NaN,NaN,75.0,187.0,Maine,Unknown,1978-09-12,NaN
castriz01w,F-G,NaN,NaN,72.0,140.0,Unknown,Unknown,1982-03-13,NaN
catchta01w,F,NaN,NaN,73.0,167.0,Tennessee,Unknown,1979-07-21,NaN
caufila01w,G,NaN,NaN,69.0,159.0,Oklahoma,Unknown,1980-05-25,NaN
cebriel01w,C,NaN,NaN,77.0,190.0,none,Unknown,1971-02-07,NaN
chacoke01w,G,NaN,NaN,69.0,151.0,George Mason,Unknown,1974-12-21,NaN
chambco01w,G,NaN,NaN,69.0,160.0,Georgia,Unknown,1985-07-06,NaN
chancva99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
chanequ01w,G,NaN,NaN,71.0,160.0,Louisiana State,Unknown,1986-04-14,NaN
chapmji01w,C,NaN,NaN,75.0,206.0,Indiana,Unknown,1979-11-04,NaN
charlda01w,F-C,NaN,NaN,75.0,141.0,Tennessee,Unknown,1968-11-22,NaN
charlti01w,C,NaN,NaN,76.0,198.0,Connecticut,Unknown,1988-12-05,NaN
chaseso01w,G,NaN,NaN,69.0,150.0,Maryland,Unknown,1976-03-09,NaN
chatmda99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
cheekjo01w,F,NaN,NaN,73.0,201.0,Duke,Unknown,1988-06-25,NaN
cheruam01w,G,NaN,NaN,70.0,140.0,Indiana,Unknown,1970-04-18,NaN
chestfe01w,F,NaN,NaN,75.0,180.0,DePaul,Unknown,1988-03-24,NaN
choneka01w,C,NaN,NaN,75.0,180.0,North Carolina State,Unknown,1981-01-11,NaN
chriska01w,F,NaN,NaN,74.0,171.0,UC Santa Barbara,Unknown,1980-11-16,NaN
chriska02w,F,NaN,NaN,72.0,180.0,Duke,Unknown,1989-09-11,NaN
chrissh01w,F,NaN,NaN,73.0,170.0,Arkansas,Unknown,1982-02-15,NaN
cironkr01w,G,NaN,NaN,68.0,150.0,Illinois State,Unknown,1987-05-19,NaN
clarkal01w,F,NaN,NaN,70.0,167.0,Middle Tennessee State,Unknown,1987-07-07,NaN
clarkma01w,F-C,NaN,NaN,75.0,NaN,Arizona,Unknown,1971-01-01,NaN
cleamji01w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
clearmi01w,G,NaN,NaN,66.0,126.0,Australian Institute of Sport,Unknown,1974-07-16,NaN
clinest01w,G,NaN,NaN,65.0,148.0,UC Santa Barbara,Unknown,1978-04-22,NaN
coggicl01w,G,NaN,NaN,71.0,170.0,Kansas State,Unknown,1985-05-19,NaN
cokermo01w,F,NaN,NaN,73.0,180.0,Old Dominion,Unknown,1982-11-28,NaN
colemco01w,F,NaN,NaN,72.0,170.0,Ohio State,Unknown,1981-04-13,NaN
colemma01w,G-F,NaN,NaN,73.0,160.0,Maryland,Unknown,1987-01-04,NaN
colleka01w,G-F,NaN,NaN,70.0,145.0,Maryland,Unknown,1971-03-17,NaN
colsosy01w,G,NaN,NaN,68.0,140.0,Texas A&M,Unknown,1989-08-06,NaN
compame01w,G,NaN,NaN,69.0,143.0,St. Joseph's,Unknown,1975-09-18,NaN
congran01w,F-C,NaN,NaN,74.0,183.0,Mercer,Unknown,1970-06-03,NaN
conklab01w,F,NaN,NaN,75.0,175.0,Tennessee,Unknown,1975-02-10,NaN
consuca01w,G,NaN,NaN,68.0,144.0,Iowa,Unknown,1979-03-04,NaN
coopeca01w,C,NaN,NaN,76.0,176.0,Purdue,Unknown,1979-02-05,NaN
coopecy01w,G,NaN,NaN,70.0,150.0,USC,Unknown,1963-04-14,NaN
coopemi01w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
cowenda01w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
coylepa99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
crawlsy01w,F-C,NaN,NaN,77.0,187.0,North Carolina,Unknown,1972-09-27,NaN
crockda01w,F,NaN,NaN,73.0,158.0,Baylor,Unknown,1981-02-11,NaN
crockwi01w,F,NaN,NaN,74.0,215.0,Connecticut,Unknown,1984-07-05,NaN
cronika01w,G,NaN,NaN,72.0,155.0,Colorado State,Unknown,1977-09-08,NaN
crosssh01w,G,NaN,NaN,70.0,155.0,Tennessee,Unknown,1983-09-07,NaN
crumpca01w,G,NaN,NaN,70.0,158.0,Alabama,Unknown,1962-10-29,NaN
cummiki01w,F,NaN,NaN,75.0,188.0,Long Beach State,Unknown,1963-08-29,NaN
cunnibe01w,G,NaN,NaN,72.0,163.0,Notre Dame,Unknown,1975-06-05,NaN
cunnida01w,F,NaN,NaN,72.0,187.0,Rutgers,Unknown,1980-01-27,NaN
cunnima01w,F-C,NaN,NaN,76.0,NaN,Vanderbilt,Unknown,1973-05-20,NaN
currimo01w,F,NaN,NaN,72.0,177.0,Duke,Unknown,1983-02-25,NaN
curryed01w,G,NaN,NaN,64.0,138.0,Oregon,Unknown,1979-07-09,NaN
dailesh99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
dalesst01w,G-F,NaN,NaN,72.0,155.0,Oklahoma,Unknown,1979-09-05,NaN
daleygr01w,G,NaN,NaN,66.0,147.0,Tulane,Unknown,1978-06-26,NaN
darlihe01w,G,NaN,NaN,66.0,164.0,Penn State,Unknown,1978-08-29,NaN
darscna99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
davenje01w,C,NaN,NaN,77.0,215.0,Ohio State,Unknown,1985-06-24,NaN
davisbr01w,G,NaN,NaN,72.0,172.0,Oregon,Unknown,1983-01-01,NaN
daviscl01w,F,NaN,NaN,73.0,165.0,Texas,Unknown,1967-06-04,NaN
davisde01w,G,NaN,NaN,67.0,138.0,Vanderbilt,Unknown,1984-11-08,NaN
davisla01w,G,NaN,NaN,67.0,145.0,Tennessee,Unknown,1974-10-08,NaN
davista01w,F,NaN,NaN,70.0,160.0,Washington,Unknown,1972-09-25,NaN
davista02w,G,NaN,NaN,71.0,NaN,Florida State,Unknown,1987-06-07,NaN
dedenka01w,F,NaN,NaN,76.0,170.0,Washington,Unknown,1969-09-23,NaN
deforan01w,G,NaN,NaN,70.0,160.0,Nebraska,Unknown,1976-04-14,NaN
derevje01w,G,NaN,NaN,70.0,140.0,George Mason,Unknown,1982-03-29,NaN
desouer01w,F-C,NaN,NaN,77.0,190.0,Unknown,Unknown,1982-03-03,NaN
dickeke01w,F,NaN,NaN,71.0,165.0,Texas Tech,Unknown,1978-04-20,NaN
dillata01w,G,NaN,NaN,69.0,154.0,Texas,Unknown,1981-05-06,NaN
dixonin01w,C,NaN,NaN,75.0,NaN,California,Unknown,1972-09-16,NaN
dixonta01w,G,NaN,NaN,69.0,148.0,Kansas,Unknown,1975-12-14,NaN
doagela01w,G,NaN,NaN,66.0,137.0,Nebraska,Unknown,1975-05-15,NaN
domonna01w,G,NaN,NaN,70.0,132.0,Iowa,Unknown,1975-09-28,NaN
donapbe01w,F-C,NaN,NaN,74.0,195.0,Stanford,Unknown,1980-08-27,NaN
donovan99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
doronsh01w,G,NaN,NaN,69.0,145.0,Maryland,Unknown,1985-04-01,NaN
dossaci01w,C,NaN,NaN,77.0,187.0,Unknown,Unknown,1975-01-31,NaN
douglka01w,G-F,NaN,NaN,72.0,167.0,Purdue,Unknown,1979-05-07,NaN
duffyme01w,G,NaN,NaN,67.0,135.0,Notre Dame,Unknown,1984-07-13,NaN
dunlavi01w,F,NaN,NaN,73.0,160.0,Kentucky,Unknown,1989-09-19,NaN
dunnli99wc,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
dunntr01wc,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
dupreca01w,F,NaN,NaN,74.0,162.0,Temple,Unknown,1984-08-16,NaN
dydekka01w,F-C,NaN,NaN,79.0,190.0,Evangel,Unknown,1970-03-21,NaN
dydekma01w,C,NaN,NaN,NaN,223.0,Unknown,Unknown,1974-04-28,2011-05-27
edwarmi01w,G,NaN,NaN,69.0,150.0,Rutgers,Unknown,1966-03-06,NaN
edwarsi01w,C,NaN,NaN,76.0,164.0,Iowa,Unknown,1973-11-17,NaN
edwarte01w,G-F,NaN,NaN,71.0,155.0,Georgia,Unknown,1964-07-09,NaN
edwarto01w,G,NaN,NaN,70.0,160.0,Tennessee,Unknown,1968-03-13,NaN
elysh01w,F,NaN,NaN,74.0,182.0,Tennessee,Unknown,1983-08-09,NaN
enissh01w,F-C,NaN,NaN,73.0,185.0,Alabama,Unknown,1974-12-03,NaN
erbsu01w,C,NaN,NaN,78.0,240.0,North Carolina State,Unknown,1977-07-25,NaN
ervinla01w,F,NaN,NaN,76.0,171.0,Arkansas,Unknown,1985-03-24,NaN
estessh99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
evansda01w,G,NaN,NaN,67.0,NaN,James Madison,Unknown,1989-06-30,NaN
evansde01w,G,NaN,NaN,64.0,125.0,Virginia,Unknown,1970-10-11,NaN
fallotr01w,G-F,NaN,NaN,75.0,165.0,Unknown,Unknown,1972-07-23,NaN
farriba01w,C-F,NaN,NaN,75.0,200.0,Tulane,Unknown,1976-09-10,NaN
feastal01w,F,NaN,NaN,71.0,168.0,Harvard,Unknown,1976-02-11,NaN
feifesu01w,G,NaN,NaN,73.0,162.0,Unknown,Unknown,1979-01-29,NaN
feldeja01w,F,NaN,NaN,73.0,NaN,Southern Mississippi,Unknown,1969-10-16,NaN
ferdima01w,G,NaN,NaN,69.0,153.0,Louisiana State,Unknown,1978-10-13,NaN
fernama01w,G,NaN,NaN,71.0,138.0,Unknown,Unknown,1981-12-21,NaN
ferrama01w,F,NaN,NaN,75.0,190.0,Unknown,Unknown,1972-02-11,NaN
figgsuk01w,G,NaN,NaN,69.0,142.0,Purdue,Unknown,1977-03-31,NaN
fijalis01w,C,NaN,NaN,77.0,200.0,Colorado,Unknown,1972-05-23,NaN
firsool01w,C,NaN,NaN,78.0,215.0,Kansas State,Unknown,1976-04-23,NaN
floremi01w,G,NaN,NaN,66.0,125.0,Stanford,Unknown,1977-10-19,NaN
flukety01w,C,NaN,NaN,77.0,209.0,Tennessee,Unknown,1984-12-27,NaN
folklkr01w,F,NaN,NaN,74.0,190.0,Stanford,Unknown,1975-12-19,NaN
fordch01w,F,NaN,NaN,75.0,198.0,Louisiana Tech,Unknown,1981-06-06,NaN
fordki01w,G-F,NaN,NaN,70.0,153.0,Georgia Tech,Unknown,1975-04-04,NaN
fordst01w,F,NaN,NaN,74.0,185.0,Georgia,Unknown,1969-01-14,NaN
fortnne99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
fostecl99w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
fosteto01w,F,NaN,NaN,73.0,175.0,Iowa,Unknown,1971-10-16,NaN
fowlesy01w,C,NaN,NaN,78.0,200.0,Louisiana State,Unknown,1985-10-06,NaN
francde01w,F,NaN,NaN,70.0,193.0,Iowa State,Unknown,1975-08-24,NaN
frankaq01w,G,NaN,NaN,64.0,154.0,Texas A&M,Unknown,1985-09-29,NaN
frankba01w,F-C,NaN,NaN,NaN,NaN,Wisconsin,Unknown,NaN,NaN
frazeme01w,F,NaN,NaN,75.0,191.0,Liberty,Unknown,1987-03-29,NaN
freemla01w,F,NaN,NaN,73.0,175.0,Auburn,Unknown,1971-03-17,NaN
fresest01w,G,NaN,NaN,68.0,126.0,Iowa State,Unknown,1976-09-23,NaN
frettla01w,F,NaN,NaN,75.0,170.0,Georgia,Unknown,1975-06-12,NaN
friertr01w,F,NaN,NaN,74.0,186.0,Louisiana Tech,Unknown,1979-08-23,NaN
frohlli01w,F-C,NaN,NaN,75.0,185.0,Unknown,Unknown,1979-06-23,NaN
frostsh01w,C,NaN,NaN,76.0,184.0,Tennessee,Unknown,1966-12-19,NaN
futreca01w,G,NaN,NaN,70.0,154.0,Duquesne,Unknown,1982-07-10,NaN
gaineco01w,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
gaithka01w,C,NaN,NaN,75.0,170.0,Notre Dame,Unknown,1975-08-13,NaN
gamblam01w,F,NaN,NaN,70.0,163.0,Arizona,Unknown,1964-12-17,NaN
ganttr01w,C,NaN,NaN,74.0,181.0,Lamar,Unknown,1971-10-10,NaN
garcibe01w,G,NaN,NaN,65.0,135.0,Unknown,Unknown,1976-09-03,NaN
gardike01w,F,NaN,NaN,73.0,168.0,Virginia Tech,Unknown,1984-05-19,NaN
gardnan01w,F-C,NaN,NaN,75.0,190.0,Howard,Unknown,1979-12-23,NaN
garnean01w,F-C,NaN,NaN,75.0,160.0,Penn State,Unknown,1979-01-05,NaN
gaydeco01w,G,NaN,NaN,69.0,150.0,Louisiana State,Unknown,1971-05-11,NaN
gaypi01w,G-F,NaN,NaN,71.0,183.0,Louisiana State,Unknown,1974-08-21,NaN
gearlka01w,G-F,NaN,NaN,73.0,184.0,Purdue,Unknown,1984-10-26,NaN
gessiki01w,F,NaN,NaN,75.0,175.0,USC,Unknown,1970-12-29,NaN
gibsoke01w,F-G,NaN,NaN,70.0,136.0,Maryland,Unknown,1976-11-10,NaN
gilbrbr01w,G,NaN,NaN,73.0,NaN,USC,Unknown,1990-08-16,NaN
gilloje01w,F-C,NaN,NaN,75.0,180.0,Mississippi,Unknown,1964-06-13,NaN
gilmous01w,G,NaN,NaN,71.0,158.0,Rutgers,Unknown,1978-08-24,NaN
gisseka01w,F,NaN,NaN,73.0,178.0,Penn State,North Carolina State,1985-07-27,NaN
givench01w,G,NaN,NaN,70.0,NaN,Middle Tennessee State,Unknown,1985-07-26,NaN
godbyli01w,F-C,NaN,NaN,78.0,163.0,Auburn,Unknown,1968-10-17,NaN
gomisem01w,G,NaN,NaN,71.0,134.0,Unknown,Unknown,1983-10-18,NaN
goodemo01w,G,NaN,NaN,66.0,130.0,Stanford,Unknown,1972-02-08,NaN
goodeti01w,F,NaN,NaN,71.0,165.0,Iowa,Unknown,1975-10-23,NaN
goodlsa01w,C,NaN,NaN,77.0,239.0,Georgia Tech,Unknown,1990-08-09,NaN
goodsad01w,F,NaN,NaN,72.0,165.0,Old Dominion,Unknown,1966-10-19,NaN
gordobr01w,F,NaN,NaN,72.0,159.0,Tennessee,Unknown,1967-04-27,NaN
goringi01w,C,NaN,NaN,79.0,225.0,North Carolina State (jr-sr),Arkansas-Fort Smith (fr-so),1983-06-07,NaN
gortmsh01w,G,NaN,NaN,70.0,158.0,South Carolina,Unknown,1979-12-07,NaN
grafca99wc,Unknown,NaN,NaN,NaN,NaN,Unknown,Unknown,NaN,NaN
